Data,Otwarcie,Zamkniecie
2022-09-06,1495.62,1452.86
2022-09-07,1445.54,1469.42
2022-09-08,1481.93,1473.18
2022-09-09,1487.5,1534.68
2022-09-12,1545.64,1561.97
2022-09-13,1569.03,1519.35
2022-09-14,1511.59,1528.29
2022-09-15,1533.17,1539.75
2022-09-16,1526.02,1501.91
2022-09-19,1498.57,1527.25
2022-09-20,1532.86,1497.41
2022-09-21,1495.76,1509.32
2022-09-22,1498.1,1518.19
2022-09-23,1518.03,1457.78
2022-09-26,1446.43,1433.08
2022-09-27,1443.23,1458.81
2022-09-28,1434.99,1435.37
2022-09-29,1446.35,1380.1
2022-09-30,1390.12,1377.91
2022-10-03,1379.8,1386.96
2022-10-04,1404.22,1449.81
2022-10-05,1449.73,1419.12
2022-10-06,1431.68,1417.82
2022-10-07,1414.41,1405.21
2022-10-10,1400.27,1379.49
2022-10-11,1377.66,1381.84
2022-10-12,1389.02,1377.19
2022-10-13,1378.57,1358.5
2022-10-14,1383.1,1397.23
2022-10-17,1400.06,1414.06
2022-10-18,1416.66,1427.68
2022-10-19,1430.17,1397.66
2022-10-20,1399.59,1426.52
2022-10-21,1421.96,1411.62
2022-10-24,1421.4,1433.21
2022-10-25,1438.79,1444.02
2022-10-26,1447.28,1487.6
2022-10-27,1489.37,1506.74
2022-10-28,1498.03,1508.7
2022-10-31,1511.96,1536.28
2022-11-02,1545.19,1573.97
2022-11-03,1553.61,1559.55
2022-11-04,1569.01,1601.27
2022-11-07,1605.03,1618.14
2022-11-08,1616.98,1644.75
2022-11-09,1643.42,1644.12
2022-11-10,1637.91,1690.38
2022-11-14,1697.88,1743.89
2022-11-15,1750.6,1769.55
2022-11-16,1747.81,1741.17
2022-11-17,1744.07,1708.23
2022-11-18,1709.68,1707.23
2022-11-21,1706.43,1685.5
2022-11-22,1687.07,1717.75
2022-11-23,1724.5,1713.61
2022-11-24,1724.66,1753.95
2022-11-25,1752.36,1755.69
2022-11-28,1748.68,1728.74
2022-11-29,1740.55,1736.19
2022-11-30,1741.22,1736.26
2022-12-01,1754.83,1766.38
2022-12-02,1765.02,1733.46
2022-12-05,1738.95,1746.54
2022-12-06,1741.86,1733.59
2022-12-07,1730.5,1735.66
2022-12-08,1735.17,1725.66
2022-12-09,1730.18,1730.16
2022-12-12,1729.82,1755.34
2022-12-13,1758.54,1784.67
2022-12-14,1785.11,1787.37
2022-12-15,1778.9,1756.52
2022-12-16,1746.54,1741.3
2022-12-19,1739.9,1743.24
2022-12-20,1732.8,1763.2
2022-12-21,1761.88,1786.1
2022-12-22,1786.63,1780.07
2022-12-23,1778.58,1780.27
2022-12-27,1788.67,1765.87
2022-12-28,1764.3,1767.88
2022-12-29,1768.98,1802.2
2022-12-30,1797.53,1792.01
2023-01-02,1794.52,1791.47
2023-01-03,1794.13,1824.82
2023-01-04,1826.17,1855.05
2023-01-05,1851.86,1856.05
2023-01-09,1873.58,1912.47
2023-01-10,1904.63,1937.98
2023-01-11,1936.39,1914.74
2023-01-12,1919.28,1930.79
2023-01-13,1932.38,1923.44
2023-01-16,1924.89,1933.08
2023-01-17,1928.12,1904.51
2023-01-18,1906.99,1913.25
2023-01-19,1900.37,1889.84
2023-01-20,1895.41,1892.32
2023-01-23,1899.2,1923.15
2023-01-24,1928.95,1918.6
2023-01-25,1906.22,1886.24
2023-01-26,1900.83,1911.61
2023-01-27,1916.61,1911.5
2023-01-30,1909.48,1889.82
2023-01-31,1886.96,1902.25
2023-02-01,1903.59,1871.93
2023-02-02,1886.33,1903.79
2023-02-03,1903.48,1906.13
2023-02-06,1902.31,1864.76
2023-02-07,1869.42,1870.87
2023-02-08,1882.32,1886.68
2023-02-09,1892.88,1896.24
2023-02-10,1891.84,1848.04
2023-02-13,1855.31,1853.29
2023-02-14,1858.47,1852.67
2023-02-15,1850.59,1870.03
2023-02-16,1872.93,1865.51
2023-02-17,1859.27,1859.26
2023-02-20,1860.87,1849.48
2023-02-21,1847.82,1825.89
2023-02-22,1822.56,1796.87
2023-02-23,1797.8,1824.76
2023-02-24,1828.33,1807.31
2023-02-27,1810.71,1820.79
2023-02-28,1821.3,1847.94
2023-03-01,1855.26,1856.22
2023-03-02,1850.34,1817.77
2023-03-03,1821.93,1841.85
2023-03-06,1849.05,1873.63
2023-03-07,1870.17,1853.4
2023-03-08,1853.32,1860.83
2023-03-09,1859.12,1835.94
2023-03-10,1820.21,1799.58
2023-03-13,1805.3,1753.3
2023-03-14,1752.13,1755.3
2023-03-15,1761.1,1707.42
2023-03-16,1718.65,1706.55
2023-03-17,1716.42,1678.16
2023-03-20,1671.55,1686.56
2023-03-21,1694.95,1719.16
2023-03-22,1721.09,1707.29
2023-03-23,1706.81,1705.91
2023-03-24,1700.07,1670.18
2023-03-27,1684.13,1686.96
2023-03-28,1694.46,1694.12
2023-03-29,1701.93,1709.39
2023-03-30,1715.56,1763.29
2023-03-31,1768.95,1758.56
2023-04-03,1764.92,1775.99
2023-04-04,1785.64,1773.53
2023-04-05,1772.8,1756.95
2023-04-06,1759.34,1754.24
2023-04-11,1765.72,1783.31
2023-04-12,1785.83,1816.28
2023-04-13,1814.17,1840.77
2023-04-14,1846.46,1854.27
2023-04-17,1861.54,1861.85
2023-04-18,1863.8,1896.92
2023-04-19,1893.31,1896.87
2023-04-20,1898.29,1911.19
2023-04-21,1903.8,1900.63
2023-04-24,1897.12,1910.52
2023-04-25,1907.98,1890.69
2023-04-26,1891.3,1888.61
2023-04-27,1893.04,1948.07
2023-04-28,1953.29,1923.09
2023-05-02,1921.51,1919.24
2023-05-04,1920.08,1884.32
2023-05-05,1890.37,1912.37
2023-05-08,1918.18,1922.08
2023-05-09,1919.31,1919.92
2023-05-10,1926.84,1931.94
2023-05-11,1935.51,1918.71
2023-05-12,1923.98,1939.03
2023-05-15,1949.06,1940.63
2023-05-16,1937.44,1948.83
2023-05-17,1945.87,1933.08
2023-05-18,1942.87,1939.9
2023-05-19,1946.35,1992.31
2023-05-22,1990.44,2004.72
2023-05-23,2002.96,2004.06
2023-05-24,1998.74,1958.63
2023-05-25,1961.54,1941.16
2023-05-26,1943.86,1984.12
2023-05-29,1986.48,1980.39
2023-05-30,1978.78,1946.38
2023-05-31,1934.41,1894.48
2023-06-01,1902.02,1946.21
2023-06-02,1959.23,2018.09
2023-06-05,2019.7,2020.07
2023-06-06,2017.83,2053.44
2023-06-07,2052.54,2036.31
2023-06-09,2046.14,2050.99
2023-06-12,2051.3,2044.2
2023-06-13,2050.61,2024.98
2023-06-14,2029.73,2075.83
2023-06-15,2070.12,2097.34
2023-06-16,2097.35,2108.05
2023-06-19,2102.93,2083.81
